rank,signature_name,severity,severity_label,sample_count,categories,description,ttps,source
18,physical_drive_access,3,Medium,152,"bootkit, rootkit, wiper",Attempted to write directly to a physical drive,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
19,binary_yara,3,Medium,86,static,Binary file triggered YARA rule,,all/binary_yara.py
20,pe_compile_timestomping,3,Medium,51,generic,Binary compilation timestomping detected,"T1099, T1070, T1070.006",all/static_pe_anomaly.py
21,recon_fingerprint,3,Medium,50,discovery,Collects information to fingerprint the system,"T1012, T1082",windows/recon_fingerprint.py
22,static_pe_anomaly,3,Medium,48,static,Anomalous binary characteristics,"T1099, T1070, T1070.006, T1099, T1070, T1070.006",all/static_pe_anomaly.py
23,ransomware_files,3,Medium,31,ransomware,Creates a known PYSA ransomware decryption instruction / key file.,T1486,windows/ransomware_files.py
24,virus,3,Medium,31,virus,Likely virus infection of existing binary,,windows/virus.py
25,multiple_useragents,3,Medium,31,network,Network activity contains more than one unique useragent.,T1071,windows/multiple_ua.py
26,ransomware_file_modifications,3,Medium,21,"ransomware, wiper",Exhibits possible ransomware or wiper file modification behavior: mass_file_deletion overwrites_existing_files,T1486,windows/ransomware_filemodifications.py
27,stop_ransomware_registry,3,Medium,21,ransomware,STOP ransomware registry artifacts detected,,windows/ransomware_stop.py
28,stop_ransom_mutexes,3,Medium,21,ransomware,Creates a known STOP ransomware variant mutex,T1486,windows/ransomware_stop.py
29,stop_ransomware_cmd,3,Medium,21,ransomware,STOP ransomware command line behavior detected,,windows/ransomware_stop.py
30,ransomware_stopdjvu,3,Medium,21,ransomware,Exhibits behavior characteristic of STOP/DJVU ransomware,T1486,windows/ransomware_stopdjvu.py
31,infostealer_browser,3,Medium,19,infostealer,Steals private information from local Internet browsers,"T1081, T1503, T1003, T1005, T1552, T1552.001, T1555, T1555.003",windows/infostealer_browser.py
32,registry_credential_store_access,3,Medium,18,"persistence, lateral, credential_dumping",Accessed credential storage registry keys,"T1003, T1003.002",windows/credential_dumping.py
33,windows_defender_powershell,3,Medium,17,anti-av,Attempts to modify Windows Defender using PowerShell,"T1089, T1059, T1059.001, T1562, T1562.001",windows/disables_windefender.py
34,clears_logs,3,Medium,15,stealth,Clears Windows events or logs,"T1485, T1070, T1070.001, U0302",windows/clears_logs.py
35,antidebug_windows,3,Medium,15,anti-debug,Checks for the presence of known windows from debuggers and forensic tools,"T1010, T1057, U1314",windows/antidebug_windows.py
36,infostealer_keylog,3,Medium,14,infostealer,Sniffs keystrokes,"T1081, T1003, T1005, T1056, T1552, T1552.001, T1056.001",windows/infostealer_keylog.py
37,network_fake_useragent,3,Medium,14,"network, evasion",Fake User-Agent detected,T1032,windows/network_fake_useragent.py
38,Suspicious_Scheduled_Task_Creation_Via_Masqueraded_XML_File,3,Medium,13,"evasion, execution, persistence",Attempts to schedule tasks using an XML files that doesn't have .xml extensions,T1053.005,windows/misc.py
39,removes_zoneid_ads,3,Medium,13,generic,Attempts to remove evidence of file being downloaded from the Internet,"T1096, T1070, T1564, T1564.004",windows/removes_zoneid_ads.py
40,antisandbox_sboxie_libs,3,Medium,12,anti-sandbox,Detects Sandboxie through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antisandbox_sboxie_libs.py
41,packer_themida,3,Medium,12,"packer, anti-debug",The following process appear to have been packed with Themida: 97f29e138df5a6bacf55.exe,"T1045, T1027, T1027.002",all/packer_themida.py
42,antidebug_devices,3,Medium,12,anti-debug,Checks for the presence of known devices from debuggers and forensic tools,"T1057, T1083, U1314",windows/antidebug_devices.py
43,antiemu_wine_reg,3,Medium,12,anti-emulation,Detects the presence of Wine emulator via registry key,"T1012, T1057, T1518",windows/antiemu_wine.py
44,antivm_generic_bios,3,Medium,12,anti-vm,"Checks the version of Bios, possibly for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001, U1332",windows/antivm_generic_bios.py
45,antivm_vbox_keys,3,Medium,12,anti-vm,Detects VirtualBox through the presence of a registry key,"T1012, T1057, T1497, U1332",windows/antivm_vbox_keys.py
46,remcos_mutexes,3,Medium,11,rat,Creates known Remcos mutexes,T1219,windows/remcos.py
47,pysa_mutexes,3,Medium,11,ransomware,Creates known PYSA/Mespinoza ransomware mutexes,T1486,windows/ransomware_pysa_mutex.py
48,warzonerat_files,3,Medium,11,rat,Accesses or creates Warzone RAT directories and/or files,T1219,windows/rat_warzone.py
49,ransomware_extensions_known,3,Medium,10,ransomware,Appends a known PYSA ransomware file extension to files that have been encrypted,T1486,windows/ransomware_fileextensions.py
50,remcos_regkeys,3,Medium,8,rat,Creates known Remcos registry keys,"T1112, T1219",windows/remcos.py
51,warzonerat_regkeys,3,Medium,7,rat,Creates WarzoneRAT registry keys,"T1112, T1219",windows/rat_warzone.py
52,persistence_registry_script,3,Medium,6,persistence,"Stores JavaScript or a script command in the registry, likely for fileless persistence","T1059, T1112",windows/persistence_fileless.py
53,antiav_bullgaurd_libs,3,Medium,6,anti-av,Detects BullGuard Antivirus through the presence of a library,,
54,antiav_bullguard_libs,3,Medium,6,anti-av,Detects BullGuard Antivirus through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_bullguard_libs.py
55,antisandbox_sunbelt_libs,3,Medium,6,anti-sandbox,Detects SunBelt Sandbox through the presence of a library,"T1063, T1057, T1083, T1518, T1518.001, U1314",windows/antisandbox_sunbelt_libs.py
56,cape_extracted_content,3,Medium,6,"banker, injection","CAPE detected injection into a browser process, likely for Man-In-Browser (MITB) infostealing",T1185,windows/cape_browser_mitb.py
57,injection_runpe,3,Medium,6,injection,"Executed a process and injected code into it, probably while unpacking",T1055,windows/injection_runpe.py
58,mass_data_encryption,3,Medium,6,"encryption, ransomware",Performs a large number of encryption calls using the same key possibly indicative of ransomware file encryption behavior,T1486,windows/ransomware_crypto.py
59,masquerade_process_name,3,Medium,5,"masquerading, evasion, execution",Attempts to masquerade or mimic a legitimate process or file name,"T1036, T1036.004, T1036.005, T1036.005",windows/mimics_processname.py
60,ransomware_extensions,3,Medium,5,ransomware,Appends a known PYSA ransomware file extension to files that have been encrypted,,
61,cmdline_long_string,3,Medium,4,command,A script or command line contains a long continuous string indicative of obfuscation,T1059,windows/cmdline_anomaly.py
62,powershell_command_suspicious,3,Medium,4,command,Attempts to execute suspicious powershell command arguments,"T1064, T1086, T1059, T1059.001",windows/powershell_command.py
63,antisandbox_mouse_hook,3,Medium,4,"anti-sandbox, generic",Installs an hook procedure to monitor for mouse events,"T1056, T1497, T1497.002, U1317",windows/antisandbox_mouse_hook.py
64,script_created_process,3,Medium,3,"downloader, dropper",A script process created a new process,"T1064, T1059",windows/script_downloader.py
65,deletes_self,3,Medium,3,persistence,Deletes its original binary from disk,"T1107, T1070, T1070.004",windows/deletes_self.py
66,remcos_files,3,Medium,3,rat,Creates known Remcos directories and/or files,T1219,windows/remcos.py
67,injection_rwx,2,Low,1214,injection,Creates RWX memory,T1055,windows/injection_rwx.py
68,packer_entropy,2,Low,1082,packer,The binary likely contains encrypted or compressed data,"T1045, T1027, T1027.002",all/packer_entropy.py
69,antidebug_guardpages,2,Low,1023,anti-debug,Guard pages use detected - possible anti-debugging.,"T1106, U0102",windows/antidebug_guardpages.py
70,dead_connect,2,Low,848,network,Attempts to connect to a dead IP:Port (1 unique times),,windows/dead_connect.py
71,dropper,2,Low,666,dropper,Drops a binary and executes it,T1129,windows/dropper.py
72,createtoolhelp32snapshot_module_enumeration,2,Low,641,discovery,Enumerates the modules from a process (may be used to locate base addresses in process injection),T1057,windows/process_discovery.py
73,resumethread_remote_process,2,Low,623,"injection, unpacking",Resumed a thread in another process,T1055,windows/injection_thread.py
74,injection_write_process,2,Low,515,"injection, unpacking",Writes to the memory another process,T1055,windows/injection_writememory.py
75,creates_suspended_process,2,Low,476,"injection, process hollowing","Creates a process in a suspended state, likely for injection",T1055,windows/injection_createsuspended.py
76,http_request,2,Low,429,network,Performs HTTP requests potentially not found in PCAP.,"T1071, T1071.001",windows/http_request.py
77,stealth_window,2,Low,374,stealth,A process created a hidden window,"T1143, T1564, T1564.003",windows/stealth_window.py
78,terminates_remote_process,2,Low,365,"persistence, stealth",Terminates another process,,windows/terminates_process.py
79,uses_windows_utilities,2,Low,361,"command, lateral",Uses Windows utilities for basic functionality,T1202,windows/windows_utilities.py
80,uses_windows_utilities_to_create_scheduled_task,2,Low,338,"command, lateral",Uses Windows utilities to create a scheduled task,"T1053, T1053.005",windows/windows_utilities.py
81,reads_memory_remote_process,2,Low,274,"memory scraping, injection",Reads from the memory of another process,,windows/memory_scraping.py
82,dynamic_function_loading,2,Low,255,anti-debug,Dynamic (imported) function loading detected,,windows/dynamic_function_loading.py
83,packer_unknown_pe_section_name,2,Low,155,packer,The binary contains an unknown PE section name indicative of packing,"T1045, T1027, T1027.002",all/packer_anomaly.py
84,mouse_movement_detect,2,Low,67,anti-sandbox,Checks for mouse movement,T1497,windows/antisandbox_mousemovement.py
85,enumerates_running_processes,2,Low,63,discovery,Enumerates running processes,T1057,windows/process_discovery.py
86,reads_self,2,Low,60,generic,Reads data out of its own binary image,,windows/reads_self.py
87,contains_pe_overlay,2,Low,59,static,The PE file contains an overlay,,all/static_pe_anomaly.py
88,antianalysis_tls_section,2,Low,50,anti-analysis,Contains .tls (Thread Local Storage) section,"T1055, T1055, T1055.005",all/antianalysis_tls.py
89,suspicious_communication_trusted_site,2,Low,49,"living-off-trusted-sites, C&C, network",Suspicious communication with abused trusted site,T1071,windows/network_livingofftrustedsites.py
90,process_interest,2,Low,36,generic,Expresses interest in specific running processes,T1057,windows/process_interest.py
91,script_tool_executed,2,Low,24,command,A scripting utility was executed,"T1064, T1059, T1059.001",windows/windows_utilities.py
92,encrypted_ioc,2,Low,23,encryption,"At least one IP Address, Domain, or File Name was found in a crypto call",,windows/encrypted_ioc.py
93,accesses_recyclebin,2,Low,20,"evasion, execution",Manipulates data from or to the Recycle Bin,T1074,windows/recyclebin_access.py
94,antidebug_ntsetinformationthread,2,Low,19,anti-debug,NtSetInformationThread: attempt to hide thread from debugger,"T1106, U0119",windows/antidebug_ntsetinformationthread.py
95,network_connection_via_suspicious_process,2,Low,13,"evasion, network",Attempts to make a network connection via suspicious process,"T1036, T1055",windows/misc.py
96,modify_oem_information,2,Low,11,ransomware,Modifies host OEM information,T1112,windows/modifies_oem.py
97,spreading_autoruninf,2,Low,10,persistence,Creates an autorun.inf file,T1091,windows/spreading_autoruninf.py
98,direct_hdd_access,2,Low,4,"bootkit, rootkit",Attempted to write to a harddisk volume,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
99,legitimate_domain_abuse,2,Low,4,"network, living-off-trusted-sites",Connection to a legitimate domain from an unexpected process,T1102,windows/network_legitdomainabuse.py
100,packer_vmprotect,2,Low,4,packer,The executable is likely packed with VMProtect,"T1045, T1027, T1027.002",all/packer_vmprotect.py
101,suspicious_ping_use,2,Low,3,command,A ping command was executed with the -n argument possibly to delay analysis,,windows/windows_utilities.py
102,language_check_registry,1,Informational,1240,"location_discovery, geofence",Checks system language via registry key (possible geofencing),"T1614, T1627",windows/system_location_discovery.py
103,antidebug_setunhandledexceptionfilter,1,Informational,1207,anti-debug,SetUnhandledExceptionFilter detected (possible anti-debug),"T1106, U0108",windows/antidebug_setunhandledexceptionfilter.py
104,antivm_checks_available_memory,1,Informational,1055,antivm,Checks available memory,T1082,windows/antivm_memory.py
105,queries_user_name,1,Informational,755,system_discovery,Queries the username,T1614,windows/computer_discovery.py
106,stealth_timeout,1,Informational,650,stealth,"Possible date expiration check, exits too soon after checking local time","T1497, T1497.003",windows/stealth_timelimit.py
107,queries_locale_api,1,Informational,613,"location_discovery, geofence",Queries the computer locale (possible geofencing),"T1614, T1627",windows/system_location_discovery.py
108,queries_keyboard_layout,1,Informational,578,location_discovery,Queries the keyboard layout,T1614,windows/system_location_discovery.py
109,queries_computer_name,1,Informational,466,system_discovery,Queries computer hostname,T1614,windows/computer_discovery.py
110,exec_crash,1,Informational,110,execution,At least one process apparently crashed during execution,,windows/exec_crash.py
111,accesses_public_folder,1,Informational,40,generic,A file was accessed within the Public folder.,"T1548, T1078, T1036",windows/accesses_public_folder.py
112,dll_load_uncommon_file_types,1,Informational,4,anti-debug,A file with an unusual extension was attempted to be loaded as a DLL.,T1574,windows/dll_load_uncommon.py
113,cmdline_terminate,1,Informational,4,command,Executed a command line with /C or /R argument to terminate command shell on completion which can be used to hide execution,T1059,windows/cmdline_anomaly.py
114,antivm_network_adapters,1,Informational,3,anti-vm,Checks adapter addresses which can be used to detect virtual network interfaces,,windows/antivm_network_adapter.py
115,generates_crypto_key,0,Unknown,6,,,,windows/crypto_apis.py
116,disables_uac,0,Unknown,5,,,"T1088, T1112, T1548, T1548.002",windows/disables_uac.py
117,antiav_avast_libs,0,Unknown,3,,,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_avast_libs.py
118,antivm_generic_diskreg,0,Unknown,3,,,"T1012, T1057, T1082, T1497, T1497.001, U1332",windows/antivm_generic_diskreg.py
119,recon_programs,0,Unknown,3,,,"T1012, T1082, T1518",windows/recon_programs.py
120,infostealer_ftp,0,Unknown,3,,,"T1081, T1003, T1005, T1552, T1552.001",windows/infostealer_ftp.py
121,stealth_file,0,Unknown,3,,,"T1158, T1564, T1564.001",windows/stealth_file.py
122,process_needed,0,Unknown,3,,,T1057,windows/process_needed.py
123,polymorphic,0,Unknown,3,,,,all/polymorphic.py
124,njrat_regkeys,0,Unknown,3,,,"T1112, T1219",windows/rat_njrat_regkeys.py
125,ransomware_extensions_generic,0,Unknown,3,,,T1486,windows/ransomware_fileextensions.py
126,exploit_heapspray,0,Unknown,3,,,T1203,windows/exploit_heapspray.py
127,mapped_drives_uac,0,Unknown,2,,,,windows/forces_mappeddrives_uac.py
128,modify_uac_prompt,0,Unknown,2,,,"T1088, T1112, T1548, T1548.002",windows/modifies_uac_notify.py
129,medusalocker_mutexes,0,Unknown,2,,,T1486,windows/ransomware_medusalocker.py
130,injection_createremotethread,0,Unknown,1,,,"T1055, U1226",windows/injection_createremotethread.py
131,antivm_display,0,Unknown,1,,,T1082,windows/antivm_display.py
132,uses_rdp_clip,0,Unknown,1,,,"T1021, T1021.001",windows/remote_desktop.py
133,credential_access_via_windows_credential_history,0,Unknown,1,,,T1555,windows/misc.py
rank,signature_name,severity,severity_label,sample_count,categories,description,ttps,source
1,procmem_yara,3,Medium,1169,malware,"Yara detections observed in process dumps, payloads or dropped files",,all/procmem_yara.py
2,static_pe_pdbpath,3,Medium,918,static,The PE file contains a PDB path,,all/static_pe_anomaly.py
3,persistence_autorun,3,Medium,792,persistence,Installs itself for autorun at Windows startup,"T1060, T1112, T1547, T1547.001",windows/persistence_autorun.py
4,deletes_executed_files,3,Medium,683,"persistence, stealth",Deletes executed files from disk,T1070,windows/deletes_executed.py
5,antiav_servicestop,3,Medium,570,anti-av,Attempts to stop active services,"T1031, T1089, T1489, T1543, T1543.003, T1562, T1562.001",windows/antiav_servicestop.py
6,disables_windowsupdate,3,Medium,563,generic,Attempts to disable Windows Auto Updates,T1112,windows/disables_windowsupdate.py
7,infostealer_cookies,3,Medium,400,infostealer,"Touches a file containing cookies, possibly for information gathering",T1539,windows/infostealer_cookies.py
8,antisandbox_sleep,3,Medium,357,anti-sandbox,A process attempted to delay the analysis task.,,windows/antisandbox_sleep.py
9,suspicious_command_tools,3,Medium,356,"command, lateral",Uses suspicious command line tools or Windows utilities,T1202,windows/windows_utilities.py
10,persistence_autorun_tasks,3,Medium,334,persistence,Installs itself for autorun at Windows startup,"T1053, T1112, T1053.005",windows/persistence_autorun.py
11,antiav_detectfile,3,Medium,328,anti-av,Attempts to identify installed AV products by installation directory,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_detectfile.py
12,recon_beacon,3,Medium,327,"network, discovery",A process sent information about the computer to a remote location.,"T1041, T1082, T1592, T1592.004",windows/recon_beacon.py
13,cmdline_obfuscation,3,Medium,286,command,Appears to use command line obfuscation,"T1027, T1059",windows/cmdline_anomaly.py
14,antivm_generic_system,3,Medium,262,anti-vm,"Checks the system manufacturer, likely for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001, U1332",windows/antivm_generic_system.py
15,injection_write_exe_process,3,Medium,256,"injection, unpacking",Writes an executable to the memory of another process,T1055,windows/injection_writememory.py
16,antisandbox_unhook,3,Medium,221,anti-sandbox,Tries to unhook or modify Windows functions monitored by CAPE,"T1089, T1562, T1562.001, U1330",windows/antisandbox_unhook.py
17,enumerates_physical_drives,3,Medium,152,"bootkit, rootkit, wiper",Enumerates physical drives,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
18,physical_drive_access,3,Medium,152,"bootkit, rootkit, wiper",Attempted to write directly to a physical drive,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
19,binary_yara,3,Medium,86,static,Binary file triggered YARA rule,,all/binary_yara.py
20,pe_compile_timestomping,3,Medium,51,generic,Binary compilation timestomping detected,"T1099, T1070, T1070.006",all/static_pe_anomaly.py
21,recon_fingerprint,3,Medium,50,discovery,Collects information to fingerprint the system,"T1012, T1082",windows/recon_fingerprint.py
22,static_pe_anomaly,3,Medium,48,static,Anomalous binary characteristics,"T1099, T1070, T1070.006, T1099, T1070, T1070.006",all/static_pe_anomaly.py
23,ransomware_files,3,Medium,31,ransomware,Creates a known PYSA ransomware decryption instruction / key file.,T1486,windows/ransomware_files.py
24,virus,3,Medium,31,virus,Likely virus infection of existing binary,,windows/virus.py
25,multiple_useragents,3,Medium,31,network,Network activity contains more than one unique useragent.,T1071,windows/multiple_ua.py
26,ransomware_file_modifications,3,Medium,21,"ransomware, wiper",Exhibits possible ransomware or wiper file modification behavior: mass_file_deletion overwrites_existing_files,T1486,windows/ransomware_filemodifications.py
27,stop_ransomware_registry,3,Medium,21,ransomware,STOP ransomware registry artifacts detected,,windows/ransomware_stop.py
28,stop_ransom_mutexes,3,Medium,21,ransomware,Creates a known STOP ransomware variant mutex,T1486,windows/ransomware_stop.py
29,stop_ransomware_cmd,3,Medium,21,ransomware,STOP ransomware command line behavior detected,,windows/ransomware_stop.py
30,ransomware_stopdjvu,3,Medium,21,ransomware,Exhibits behavior characteristic of STOP/DJVU ransomware,T1486,windows/ransomware_stopdjvu.py
31,infostealer_browser,3,Medium,19,infostealer,Steals private information from local Internet browsers,"T1081, T1503, T1003, T1005, T1552, T1552.001, T1555, T1555.003",windows/infostealer_browser.py
32,registry_credential_store_access,3,Medium,18,"persistence, lateral, credential_dumping",Accessed credential storage registry keys,"T1003, T1003.002",windows/credential_dumping.py
33,windows_defender_powershell,3,Medium,17,anti-av,Attempts to modify Windows Defender using PowerShell,"T1089, T1059, T1059.001, T1562, T1562.001",windows/disables_windefender.py
34,clears_logs,3,Medium,15,stealth,Clears Windows events or logs,"T1485, T1070, T1070.001, U0302",windows/clears_logs.py
35,antidebug_windows,3,Medium,15,anti-debug,Checks for the presence of known windows from debuggers and forensic tools,"T1010, T1057, U1314",windows/antidebug_windows.py
36,infostealer_keylog,3,Medium,14,infostealer,Sniffs keystrokes,"T1081, T1003, T1005, T1056, T1552, T1552.001, T1056.001",windows/infostealer_keylog.py
37,network_fake_useragent,3,Medium,14,"network, evasion",Fake User-Agent detected,T1032,windows/network_fake_useragent.py
38,Suspicious_Scheduled_Task_Creation_Via_Masqueraded_XML_File,3,Medium,13,"evasion, execution, persistence",Attempts to schedule tasks using an XML files that doesn't have .xml extensions,T1053.005,windows/misc.py
39,removes_zoneid_ads,3,Medium,13,generic,Attempts to remove evidence of file being downloaded from the Internet,"T1096, T1070, T1564, T1564.004",windows/removes_zoneid_ads.py
40,antisandbox_sboxie_libs,3,Medium,12,anti-sandbox,Detects Sandboxie through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antisandbox_sboxie_libs.py
41,packer_themida,3,Medium,12,"packer, anti-debug",The following process appear to have been packed with Themida: 97f29e138df5a6bacf55.exe,"T1045, T1027, T1027.002",all/packer_themida.py
42,antidebug_devices,3,Medium,12,anti-debug,Checks for the presence of known devices from debuggers and forensic tools,"T1057, T1083, U1314",windows/antidebug_devices.py
43,antiemu_wine_reg,3,Medium,12,anti-emulation,Detects the presence of Wine emulator via registry key,"T1012, T1057, T1518",windows/antiemu_wine.py
44,antivm_generic_bios,3,Medium,12,anti-vm,"Checks the version of Bios, possibly for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001, U1332",windows/antivm_generic_bios.py
45,antivm_vbox_keys,3,Medium,12,anti-vm,Detects VirtualBox through the presence of a registry key,"T1012, T1057, T1497, U1332",windows/antivm_vbox_keys.py
46,remcos_mutexes,3,Medium,11,rat,Creates known Remcos mutexes,T1219,windows/remcos.py
47,pysa_mutexes,3,Medium,11,ransomware,Creates known PYSA/Mespinoza ransomware mutexes,T1486,windows/ransomware_pysa_mutex.py
48,warzonerat_files,3,Medium,11,rat,Accesses or creates Warzone RAT directories and/or files,T1219,windows/rat_warzone.py
49,ransomware_extensions_known,3,Medium,10,ransomware,Appends a known PYSA ransomware file extension to files that have been encrypted,T1486,windows/ransomware_fileextensions.py
50,remcos_regkeys,3,Medium,8,rat,Creates known Remcos registry keys,"T1112, T1219",windows/remcos.py
51,warzonerat_regkeys,3,Medium,7,rat,Creates WarzoneRAT registry keys,"T1112, T1219",windows/rat_warzone.py
52,persistence_registry_script,3,Medium,6,persistence,"Stores JavaScript or a script command in the registry, likely for fileless persistence","T1059, T1112",windows/persistence_fileless.py
53,antiav_bullgaurd_libs,3,Medium,6,anti-av,Detects BullGuard Antivirus through the presence of a library,,
54,antiav_bullguard_libs,3,Medium,6,anti-av,Detects BullGuard Antivirus through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_bullguard_libs.py
55,antisandbox_sunbelt_libs,3,Medium,6,anti-sandbox,Detects SunBelt Sandbox through the presence of a library,"T1063, T1057, T1083, T1518, T1518.001, U1314",windows/antisandbox_sunbelt_libs.py
56,cape_extracted_content,3,Medium,6,"banker, injection","CAPE detected injection into a browser process, likely for Man-In-Browser (MITB) infostealing",T1185,windows/cape_browser_mitb.py
57,injection_runpe,3,Medium,6,injection,"Executed a process and injected code into it, probably while unpacking",T1055,windows/injection_runpe.py
58,mass_data_encryption,3,Medium,6,"encryption, ransomware",Performs a large number of encryption calls using the same key possibly indicative of ransomware file encryption behavior,T1486,windows/ransomware_crypto.py
59,masquerade_process_name,3,Medium,5,"masquerading, evasion, execution",Attempts to masquerade or mimic a legitimate process or file name,"T1036, T1036.004, T1036.005, T1036.005",windows/mimics_processname.py
60,ransomware_extensions,3,Medium,5,ransomware,Appends a known PYSA ransomware file extension to files that have been encrypted,,
61,cmdline_long_string,3,Medium,4,command,A script or command line contains a long continuous string indicative of obfuscation,T1059,windows/cmdline_anomaly.py
62,powershell_command_suspicious,3,Medium,4,command,Attempts to execute suspicious powershell command arguments,"T1064, T1086, T1059, T1059.001",windows/powershell_command.py
63,antisandbox_mouse_hook,3,Medium,4,"anti-sandbox, generic",Installs an hook procedure to monitor for mouse events,"T1056, T1497, T1497.002, U1317",windows/antisandbox_mouse_hook.py
64,script_created_process,3,Medium,3,"downloader, dropper",A script process created a new process,"T1064, T1059",windows/script_downloader.py
65,deletes_self,3,Medium,3,persistence,Deletes its original binary from disk,"T1107, T1070, T1070.004",windows/deletes_self.py
66,remcos_files,3,Medium,3,rat,Creates known Remcos directories and/or files,T1219,windows/remcos.py
67,injection_rwx,2,Low,1214,injection,Creates RWX memory,T1055,windows/injection_rwx.py
68,packer_entropy,2,Low,1082,packer,The binary likely contains encrypted or compressed data,"T1045, T1027, T1027.002",all/packer_entropy.py
69,antidebug_guardpages,2,Low,1023,anti-debug,Guard pages use detected - possible anti-debugging.,"T1106, U0102",windows/antidebug_guardpages.py
70,dead_connect,2,Low,848,network,Attempts to connect to a dead IP:Port (1 unique times),,windows/dead_connect.py
71,dropper,2,Low,666,dropper,Drops a binary and executes it,T1129,windows/dropper.py
72,createtoolhelp32snapshot_module_enumeration,2,Low,641,discovery,Enumerates the modules from a process (may be used to locate base addresses in process injection),T1057,windows/process_discovery.py
73,resumethread_remote_process,2,Low,623,"injection, unpacking",Resumed a thread in another process,T1055,windows/injection_thread.py
74,injection_write_process,2,Low,515,"injection, unpacking",Writes to the memory another process,T1055,windows/injection_writememory.py
75,creates_suspended_process,2,Low,476,"injection, process hollowing","Creates a process in a suspended state, likely for injection",T1055,windows/injection_createsuspended.py
76,http_request,2,Low,429,network,Performs HTTP requests potentially not found in PCAP.,"T1071, T1071.001",windows/http_request.py
77,stealth_window,2,Low,374,stealth,A process created a hidden window,"T1143, T1564, T1564.003",windows/stealth_window.py
78,terminates_remote_process,2,Low,365,"persistence, stealth",Terminates another process,,windows/terminates_process.py
79,uses_windows_utilities,2,Low,361,"command, lateral",Uses Windows utilities for basic functionality,T1202,windows/windows_utilities.py
80,uses_windows_utilities_to_create_scheduled_task,2,Low,338,"command, lateral",Uses Windows utilities to create a scheduled task,"T1053, T1053.005",windows/w
