sha256,baseline_signatures,deepseek-r1_7b_v0,deepseek-r1_7b_v1,deepseek-r1_7b_v2,deepseek-r1_7b_v3,gemma3_12b_v0,gemma3_12b_v1,gemma3_12b_v2,gemma3_12b_v3,llama3.1_8b_v0,llama3.1_8b_v1,llama3.1_8b_v2,llama3.1_8b_v3,qwen3_v0,qwen3_v1,qwen3_v2,qwen3_v3
02de8eae5138f4fd,dead_connect; queries_keyboard_layout; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; packer_entropy; injection_rwx; procmem_yara,,,,,,,,,,,,,,,,
03a84155093ab32f,antivm_checks_available_memory; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; mouse_movement_detect; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; packer_entropy; injection_rwx; injection_write_exe_process; procmem_yara,terminates_remote_process,,terminates_remote_process,terminates_remote_process,,terminates_remote_process,terminates_remote_process,,,,,terminates_remote_process,terminates_remote_process,,reads_self,terminates_remote_process
04739bba7ef80f72,antivm_checks_available_memory; queries_computer_name; dead_connect; queries_locale_api; antidebug_setunhandledexceptionfilter; exec_crash; language_check_registry; antidebug_guardpages; http_request; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; terminates_remote_process; packer_entropy; contains_pe_overlay; injection_rwx; infostealer_browser; injection_write_exe_process; persistence_autorun; virus; procmem_yara,,,,reads_self,terminates_remote_process,reads_self,terminates_remote_process,terminates_remote_process,terminates_remote_process,terminates_remote_process,reads_self,reads_self,stealth_timeout; cape_extracted_content,terminates_remote_process,terminates_remote_process,
049f58ddc74db94c,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,,,,,,,,,,,,,,,,
05b0077a16c46f0b,antivm_checks_available_memory; queries_computer_name; queries_user_name; dead_connect; dynamic_function_loading; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; exec_crash; stealth_timeout; language_check_registry; antidebug_guardpages; antisandbox_sleep; http_request; creates_suspended_process; resumethread_remote_process; injection_write_process; createtoolhelp32snapshot_module_enumeration; stealth_window; terminates_remote_process; packer_entropy; dropper; injection_rwx; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; antiav_servicestop; antisandbox_unhook; antivm_generic_system; infostealer_cookies; persistence_autorun; persistence_autorun_tasks; recon_beacon; procmem_yara; antiav_detectfile; enumerates_physical_drives; physical_drive_access; cmdline_obfuscation; deletes_executed_files; disables_windowsupdate; suspicious_command_tools,,,,,physical_drive_access; enumerates_physical_drives,,physical_drive_access; enumerates_physical_drives,,,,,,,,,
05d5e42ae754a67c,antivm_checks_available_memory; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; packer_entropy; injection_rwx; injection_write_exe_process; procmem_yara,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout; terminates_remote_process,queries_keyboard_layout,,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout; terminates_remote_process,terminates_remote_process,queries_keyboard_layout,,queries_keyboard_layout,,
086ba35dc895c0cf,antivm_checks_available_memory; queries_user_name; dead_connect; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; antiav_servicestop; persistence_autorun; deletes_executed_files; disables_windowsupdate,dropper; procmem_yara; injection_rwx,dropper; procmem_yara; injection_rwx,dropper; packer_entropy; static_pe_pdbpath; procmem_yara; injection_rwx,dropper; packer_entropy; static_pe_pdbpath; procmem_yara; injection_rwx,,,,,resumethread_remote_process; infostealer_cookies; stealth_timeout; reads_self; recon_beacon; createtoolhelp32snapshot_module_enumeration; cmdline_obfuscation; antivm_generic_system; uses_windows_utilities; queries_keyboard_layout; antisandbox_sleep; queries_locale_api; queries_computer_name; suspicious_command_tools; persistence_autorun_tasks; antiav_detectfile; dynamic_function_loading; http_request; antisandbox_unhook; uses_windows_utilities_to_create_scheduled_task; injection_write_process; creates_suspended_process; stealth_window,,,,reads_self; queries_locale_api; queries_keyboard_layout,,reads_self; queries_locale_api; queries_keyboard_layout,
08d64c718925a600,antivm_checks_available_memory; queries_computer_name; queries_user_name; queries_keyboard_layout; queries_locale_api; antidebug_setunhandledexceptionfilter; dll_load_uncommon_file_types; exec_crash; stealth_timeout; language_check_registry; antidebug_guardpages; antisandbox_sleep; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; reads_self; stealth_window; packer_entropy; injection_rwx; script_tool_executed; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; infostealer_cookies; injection_write_exe_process; Suspicious_Scheduled_Task_Creation_Via_Masqueraded_XML_File; persistence_autorun; script_created_process; procmem_yara; deletes_executed_files; infostealer_keylog; remcos_mutexes,,terminates_remote_process,terminates_remote_process,terminates_remote_process,terminates_remote_process,,terminates_remote_process,antivm_generic_system,antivm_generic_system,,,,terminates_remote_process,terminates_remote_process,enumerates_running_processes; terminates_remote_process; antisandbox_unhook; process_interest; antivm_generic_system,process_interest; enumerates_running_processes; antisandbox_unhook; terminates_remote_process
08fdd7a5dfca7199,antivm_checks_available_memory; dead_connect; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_unknown_pe_section_name; packer_entropy; injection_rwx; procmem_yara,,,,,,,,stealth_timeout,,,,,,,,
0c2eba8cfe5ff693,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,stealth_timeout,,,,,stealth_timeout,,stealth_timeout,,,,stealth_timeout,queries_locale_api; queries_keyboard_layout,queries_locale_api; queries_keyboard_layout,,queries_locale_api; queries_keyboard_layout
0e271da66f19e484,antivm_checks_available_memory; queries_computer_name; queries_user_name; dead_connect; dynamic_function_loading; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; antisandbox_sleep; http_request; creates_suspended_process; resumethread_remote_process; injection_write_process; createtoolhelp32snapshot_module_enumeration; stealth_window; terminates_remote_process; packer_entropy; dropper; injection_rwx; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; antiav_servicestop; antisandbox_unhook; antivm_generic_system; infostealer_cookies; persistence_autorun; persistence_autorun_tasks; recon_beacon; procmem_yara; antiav_detectfile; enumerates_physical_drives; physical_drive_access; cmdline_obfuscation; deletes_executed_files; disables_windowsupdate; suspicious_command_tools,,,,,antisandbox_unhook,enumerates_physical_drives; physical_drive_access; antisandbox_unhook,enumerates_physical_drives; physical_drive_access; antisandbox_unhook,antisandbox_unhook,,,,,,,,
0e375952de1156c5,antivm_checks_available_memory; queries_computer_name; queries_user_name; dead_connect; dynamic_function_loading; queries_keyboard_layout; queries_locale_api; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; antisandbox_sleep; http_request; creates_suspended_process; resumethread_remote_process; injection_write_process; createtoolhelp32snapshot_module_enumeration; stealth_window; terminates_remote_process; dropper; injection_rwx; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; antiav_servicestop; antisandbox_unhook; antivm_generic_system; infostealer_cookies; persistence_autorun; persistence_autorun_tasks; recon_beacon; procmem_yara; antiav_detectfile; enumerates_physical_drives; physical_drive_access; cmdline_obfuscation; deletes_executed_files; disables_windowsupdate; suspicious_command_tools,packer_entropy; static_pe_pdbpath,packer_entropy; static_pe_pdbpath,packer_entropy; static_pe_pdbpath,packer_entropy; static_pe_pdbpath,antisandbox_unhook,antisandbox_unhook,antisandbox_unhook,,,,,,,,,
0f34c32345a18ec4,antivm_checks_available_memory; queries_keyboard_layout; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; packer_unknown_pe_section_name; packer_entropy; injection_rwx; injection_write_exe_process; binary_yara; procmem_yara,,,terminates_remote_process,terminates_remote_process,,terminates_remote_process,,terminates_remote_process,,terminates_remote_process,,,,terminates_remote_process,,
0fd20c59637e0e49,antivm_checks_available_memory; queries_user_name; dead_connect; queries_locale_api; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; resumethread_remote_process; injection_write_process; reads_memory_remote_process; injection_write_exe_process; persistence_autorun; remcos_mutexes; remcos_regkeys,injection_rwx,injection_rwx,terminates_remote_process; injection_rwx,injection_rwx; stealth_timeout,terminates_remote_process,,terminates_remote_process,stealth_timeout,stealth_timeout,stealth_timeout,terminates_remote_process,terminates_remote_process,queries_keyboard_layout; mouse_movement_detect; reads_self,,,queries_keyboard_layout; mouse_movement_detect; reads_self
11ab13181f22fd2a,antivm_checks_available_memory; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_entropy; dropper; injection_rwx; persistence_autorun; procmem_yara; deletes_executed_files,,,,,,,,,queries_user_name; resumethread_remote_process; uses_windows_utilities_to_create_scheduled_task; queries_keyboard_layout; antisandbox_sleep; disables_windowsupdate; infostealer_cookies; uses_windows_utilities; stealth_timeout; injection_write_process; persistence_autorun_tasks; http_request; recon_beacon; suspicious_command_tools; reads_self; stealth_window; antiav_detectfile; antiav_servicestop; queries_locale_api; cmdline_obfuscation,queries_user_name; terminates_remote_process; resumethread_remote_process; uses_windows_utilities_to_create_scheduled_task; queries_keyboard_layout; queries_computer_name; dynamic_function_loading; infostealer_cookies; disables_windowsupdate; uses_windows_utilities; stealth_timeout; injection_write_process; persistence_autorun_tasks; http_request; suspicious_command_tools; reads_self; creates_suspended_process; stealth_window; antiav_detectfile; antiav_servicestop; antivm_generic_system; queries_locale_api; cmdline_obfuscation,,queries_user_name; terminates_remote_process; resumethread_remote_process; uses_windows_utilities_to_create_scheduled_task; queries_keyboard_layout; antisandbox_sleep; queries_computer_name; dynamic_function_loading; infostealer_cookies; disables_windowsupdate; uses_windows_utilities; stealth_timeout; injection_write_process; persistence_autorun_tasks; http_request; recon_beacon; suspicious_command_tools; reads_self; creates_suspended_process; stealth_window; antisandbox_unhook; antiav_detectfile; antiav_servicestop; antivm_generic_system; queries_locale_api; cmdline_obfuscation,,anomalous_deletefile; resumethread_remote_process; queries_computer_name; cmdline_obfuscation; antiav_servicestop; stealth_timeout; antiav_detectfile; dynamic_function_loading; http_request; terminates_remote_process; infostealer_cookies; queries_keyboard_layout; stealth_window; reads_self; injection_write_process; antisandbox_sleep; recon_beacon; disables_windowsupdate; suspicious_command_tools; queries_locale_api; queries_user_name; uses_windows_utilities_to_create_scheduled_task; uses_windows_utilities; antivm_generic_system; persistence_autorun_tasks,anomalous_deletefile; resumethread_remote_process; queries_computer_name; cmdline_obfuscation; antiav_servicestop; stealth_timeout; antiav_detectfile; dynamic_function_loading; http_request; infostealer_cookies; queries_keyboard_layout; stealth_window; reads_self; injection_write_process; antisandbox_sleep; recon_beacon; disables_windowsupdate; suspicious_command_tools; queries_locale_api; queries_user_name; uses_windows_utilities_to_create_scheduled_task; uses_windows_utilities; persistence_autorun_tasks,
16a971536a914e65,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,queries_keyboard_layout; queries_locale_api,,,,,,,,createtoolhelp32snapshot_module_enumeration,createtoolhelp32snapshot_module_enumeration,infostealer_cookies,,static_pe_pdbpath; procmem_yara; createtoolhelp32snapshot_module_enumeration; injection_rwx; packer_entropy; dropper,static_pe_pdbpath; injection_rwx; procmem_yara; packer_entropy; dropper,static_pe_pdbpath; injection_rwx; procmem_yara; packer_entropy; dropper,static_pe_pdbpath; injection_rwx; procmem_yara; packer_entropy; dropper
1714d4efa0fffd2d,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,,,,,,,,,antisandbox_unhook; injection_write_process; creates_suspended_process; resumethread_remote_process; suspicious_command_tools; createtoolhelp32snapshot_module_enumeration; dynamic_function_loading; queries_computer_name; recon_beacon; persistence_autorun_tasks; antivm_generic_system; queries_keyboard_layout; cmdline_obfuscation; antisandbox_sleep; queries_locale_api; stealth_timeout; terminates_remote_process; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; infostealer_cookies; http_request; stealth_window; antiav_detectfile,,,queries_keyboard_layout; reads_self; queries_locale_api,procmem_yara; injection_rwx; dropper,procmem_yara; injection_rwx; packer_entropy; dropper; static_pe_pdbpath,procmem_yara; injection_rwx; packer_entropy; dropper; static_pe_pdbpath,procmem_yara; injection_rwx; packer_entropy; dropper; static_pe_pdbpath
1763a9890a1935dc,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,,,,,,,,,,queries_locale_api; queries_keyboard_layout; reads_self,,,static_pe_pdbpath; packer_entropy,static_pe_pdbpath; packer_entropy,static_pe_pdbpath; packer_entropy,static_pe_pdbpath; packer_entropy
18462c2005b53bab,antivm_checks_available_memory; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_entropy; injection_rwx; procmem_yara,,,,,,,,,dead_connect,dead_connect,dead_connect,dead_connect,,,mouse_movement_detect; queries_keyboard_layout; queries_locale_api,
18a67aada4aaab03,queries_computer_name; queries_user_name; dead_connect; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; http_request; resumethread_remote_process; stealth_window; terminates_remote_process; packer_entropy; injection_rwx; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; antisandbox_sleep; infostealer_cookies; persistence_autorun; persistence_autorun_tasks; recon_beacon; procmem_yara; antiav_detectfile; cmdline_obfuscation; suspicious_command_tools,,,,antivm_generic_system; antivm_checks_available_memory,enumerates_running_processes; process_interest; antisandbox_unhook; reads_memory_remote_process,,enumerates_running_processes; process_interest; antisandbox_unhook; reads_memory_remote_process,process_interest; antisandbox_unhook; reads_memory_remote_process; enumerates_running_processes; terminates_remote_process,,,,,antivm_generic_system; antivm_checks_available_memory,,,
18f5f368c18b9988,antivm_checks_available_memory; queries_computer_name; queries_user_name; queries_keyboard_layout; queries_locale_api; accesses_public_folder; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; mouse_movement_detect; http_request; resumethread_remote_process; reads_memory_remote_process; suspicious_communication_trusted_site; enumerates_running_processes; accesses_recyclebin; stealth_window; terminates_remote_process; injection_rwx; uses_windows_utilities; infostealer_browser; recon_programs; binary_yara; deletes_executed_files; infostealer_ftp; recon_fingerprint; suspicious_command_tools,cmdline_terminate,cmdline_terminate,cmdline_terminate,,infostealer_browser,infostealer_browser; terminates_remote_process,terminates_remote_process,infostealer_browser; anomalous_deletefile,,terminates_remote_process,terminates_remote_process,terminates_remote_process,procmem_yara,,procmem_yara,
1a67cb53a941bec0,antivm_checks_available_memory; queries_computer_name; queries_user_name; dead_connect; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; exec_crash; stealth_timeout; language_check_registry; antidebug_guardpages; antisandbox_sleep; http_request; creates_suspended_process; resumethread_remote_process; injection_write_process; createtoolhelp32snapshot_module_enumeration; stealth_window; terminates_remote_process; packer_entropy; dropper; injection_rwx; uses_windows_utilities; uses_windows_utilities_to_create_scheduled_task; antiav_servicestop; antisandbox_unhook; antivm_generic_system; infostealer_cookies; persistence_autorun; persistence_autorun_tasks; recon_beacon; procmem_yara; antiav_detectfile; enumerates_physical_drives; physical_drive_access; cmdline_obfuscation; deletes_executed_files; disables_windowsupdate; suspicious_command_tools,,dynamic_function_loading,,,,,,,antisandbox_unhook,antisandbox_unhook,antisandbox_unhook,antisandbox_unhook,,,,
1c74605c75bd8e87,antivm_checks_available_memory; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; injection_rwx; procmem_yara,,,,,,,,,,,,,,,,
1d23a044889676ba,antivm_checks_available_memory; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; injection_rwx; procmem_yara,,,stealth_timeout,,,,,,,,,,,,,
1e2009549452ed6b,queries_keyboard_layout; queries_locale_api; accesses_public_folder; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; creates_suspended_process; resumethread_remote_process; accesses_recyclebin; stealth_window; antianalysis_tls_section; packer_unknown_pe_section_name; modify_oem_information; uses_windows_utilities; ransomware_file_modifications; clears_logs; deletes_executed_files; ransomware_extensions_known; ransomware_files; pysa_mutexes,,,,,,,,,,,,,,,,
1e8b65ae36a80d46,antivm_checks_available_memory; queries_user_name; dead_connect; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; language_check_registry; antidebug_guardpages; createtoolhelp32snapshot_module_enumeration; packer_entropy; dropper; injection_rwx; antiav_servicestop; persistence_autorun; procmem_yara; deletes_executed_files; disables_windowsupdate,,,,,,,,,,,,stealth_timeout; infostealer_cookies,,,,
1ed1b4315c252525,queries_computer_name; queries_user_name; queries_keyboard_layout; queries_locale_api; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; http_request; creates_suspended_process; resumethread_remote_process; enumerates_running_processes; terminates_remote_process; packer_entropy; injection_rwx; persistence_autorun; stop_ransomware_registry; virus; procmem_yara; ransomware_files; stop_ransom_mutexes; stop_ransomware_cmd; ransomware_stopdjvu; suspicious_command_tools,,,,,,antivm_checks_available_memory; antivm_generic_system,,,,,,,,,,
1f3edb430ef26e79,antivm_checks_available_memory; static_pe_pdbpath; antidebug_setunhandledexceptionfilter; stealth_timeout; language_check_registry; antidebug_guardpages; creates_suspended_process; resumethread_remote_process; injection_write_process; reads_memory_remote_process; packer_unknown_pe_section_name; packer_entropy; injection_rwx; injection_write_exe_process; binary_yara; procmem_yara,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout,terminates_remote_process,,terminates_remote_process,,terminates_remote_process,queries_keyboard_layout,queries_keyboard_layout,queries_keyboard_layout; terminates_remote_process,reads_self,terminates_remote_process,,terminates_remote_process,
