rank,signature_name,severity,severity_label,sample_count,categories,description,ttps,source
34,infostealer_ftp,3,Medium,3,infostealer,Harvests credentials from local FTP client softwares,"T1081, T1003, T1005, T1552, T1552.001",windows/infostealer_ftp.py
35,deletes_self,3,Medium,1,persistence,Deletes its original binary from disk,"T1107, T1070, T1070.004",windows/deletes_self.py
36,antiav_avast_libs,3,Medium,1,anti-av,Detects Avast Antivirus through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_avast_libs.py
37,antidebug_windows,3,Medium,1,anti-debug,Checks for the presence of known windows from debuggers and forensic tools,"T1010, T1057, U1314",windows/antidebug_windows.py
38,antivm_generic_diskreg,3,Medium,1,anti-vm,"Checks the presence of disk drives in the registry, possibly for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001",windows/antivm_generic_diskreg.py
39,antisandbox_sboxie_libs,3,Medium,1,anti-sandbox,Detects Sandboxie through the presence of a library,"T1063, T1083, T1518, T1518.001, U1314",windows/antisandbox_sboxie_libs.py
40,uses_remote_desktop_session,3,Medium,1,command,Connects to/from or queries a remote desktop session,"T1021, T1021.001",windows/remote_desktop.py
41,terminates_remote_process,2,Low,414,"persistence, stealth",Terminates another process,,windows/terminates_process.py
42,reads_self,2,Low,129,generic,Reads data out of its own binary image,,windows/reads_self.py
43,reads_memory_remote_process,2,Low,75,"memory scraping, injection",Reads from the memory of another process,,windows/memory_scraping.py
44,injection_rwx,2,Low,73,injection,Creates RWX memory,T1055,windows/injection_rwx.py
45,packer_entropy,2,Low,72,packer,The binary likely contains encrypted or compressed data,"T1045, T1027, T1027.002",all/packer_entropy.py
46,process_interest,2,Low,67,generic,Expresses interest in specific running processes,T1057,windows/process_interest.py
47,enumerates_running_processes,2,Low,63,discovery,Enumerates running processes,T1057,windows/process_discovery.py
48,uses_windows_utilities,2,Low,58,"command, lateral",Uses Windows utilities for basic functionality,T1202,windows/windows_utilities.py
49,resumethread_remote_process,2,Low,50,"injection, unpacking",Resumed a thread in another process,T1055,windows/injection_thread.py
50,stealth_window,2,Low,49,stealth,A process created a hidden window,"T1143, T1564, T1564.003",windows/stealth_window.py
51,creates_suspended_process,2,Low,48,"injection, process hollowing","Creates a process in a suspended state, likely for injection",T1055,windows/injection_createsuspended.py
52,http_request,2,Low,47,network,Performs HTTP requests potentially not found in PCAP.,"T1071, T1071.001",windows/http_request.py
53,injection_write_process,2,Low,45,"injection, unpacking",Writes to the memory another process,T1055,windows/injection_writememory.py
54,antisandbox_sleep,2,Low,42,anti-sandbox,A process attempted to delay the analysis task.,,windows/antisandbox_sleep.py
55,dropper,2,Low,40,dropper,Drops a binary and executes it,T1129,windows/dropper.py
56,uses_windows_utilities_to_create_scheduled_task,2,Low,34,"command, lateral",Uses Windows utilities to create a scheduled task,"T1053, T1053.005",windows/windows_utilities.py
57,mouse_movement_detect,2,Low,32,anti-sandbox,Checks for mouse movement,T1497,windows/antisandbox_mousemovement.py
58,createtoolhelp32snapshot_module_enumeration,2,Low,28,discovery,Enumerates the modules from a process (may be used to locate base addresses in process injection),T1057,windows/process_discovery.py
59,antidebug_guardpages,2,Low,17,anti-debug,Guard pages use detected - possible anti-debugging.,"T1106, U0102",windows/antidebug_guardpages.py
60,anomalous_deletefile,2,Low,14,malware,Anomalous file deletion behavior detected (10+),T1485,windows/anomalous_deletefile.py
61,suspicious_communication_trusted_site,2,Low,10,"living-off-trusted-sites, C&C, network",Suspicious communication with abused trusted site,T1071,windows/network_livingofftrustedsites.py
62,accesses_recyclebin,2,Low,9,"evasion, execution",Manipulates data from or to the Recycle Bin,T1074,windows/recyclebin_access.py
63,process_needed,2,Low,8,generic,"Repeatedly searches for a not-found process, may want to run with startbrowser=1 option",T1057,windows/process_needed.py
64,network_connection_via_suspicious_process,2,Low,7,"evasion, network",Attempts to make a network connection via suspicious process,"T1036, T1055",windows/misc.py
65,contains_pe_overlay,2,Low,6,static,The PE file contains an overlay,,all/static_pe_anomaly.py
66,credential_access_via_windows_credential_history,2,Low,5,credentials,Attempts to access Users Windows Credential History File that is used by Microsoft,T1555,windows/misc.py
67,packer_unknown_pe_section_name,2,Low,4,packer,The binary contains an unknown PE section name indicative of packing,"T1045, T1027, T1027.002",all/packer_anomaly.py
68,encrypted_ioc,2,Low,4,encryption,"At least one IP Address, Domain, or File Name was found in a crypto call",,windows/encrypted_ioc.py
69,network_anomaly,2,Low,1,network,Network anomalies occured during the analysis.,,windows/network_anomaly.py
70,queries_keyboard_layout,1,Informational,261,location_discovery,Queries the keyboard layout,T1614,windows/system_location_discovery.py
71,queries_locale_api,1,Informational,156,"location_discovery, geofence",Queries the computer locale (possible geofencing),"T1614, T1627",windows/system_location_discovery.py
72,stealth_timeout,1,Informational,143,stealth,"Possible date expiration check, exits too soon after checking local time","T1497, T1497.003",windows/stealth_timelimit.py
73,queries_computer_name,1,Informational,73,system_discovery,Queries computer hostname,T1614,windows/computer_discovery.py
74,static_pe_pdbpath,1,Informational,69,static,The PE file contains a PDB path,,all/static_pe_anomaly.py
75,antivm_checks_available_memory,1,Informational,65,antivm,Checks available memory,T1082,windows/antivm_memory.py
76,dynamic_function_loading,1,Informational,55,anti-debug,Dynamic (imported) function loading detected,,windows/dynamic_function_loading.py
77,dead_connect,1,Informational,27,network,Attempts to connect to a dead IP:Port ({0} unique times),,windows/dead_connect.py
78,queries_user_name,1,Informational,22,system_discovery,Queries the username,T1614,windows/computer_discovery.py
79,antidebug_setunhandledexceptionfilter,1,Informational,16,anti-debug,SetUnhandledExceptionFilter detected (possible anti-debug),"T1106, U0108",windows/antidebug_setunhandledexceptionfilter.py
80,accesses_public_folder,1,Informational,15,generic,A file was accessed within the Public folder.,"T1548, T1078, T1036",windows/accesses_public_folder.py
81,language_check_registry,1,Informational,12,"location_discovery, geofence",Checks system language via registry key (possible geofencing),"T1614, T1627",windows/system_location_discovery.py
82,cmdline_terminate,1,Informational,5,command,Executed a command line with /C or /R argument to terminate command shell on completion which can be used to hide execution,T1059,windows/cmdline_anomaly.py
